0,turtle,3412,giant,3160,shell,1778,ninja,1740,turtles,1509,penguin,1494,mega,1321,midget,1127,teenage,807,naked,526,named,502,huge,413,awkward,365,wonders,358,homeless,350,sea,322,saved,280,shark,246,pet,235,robot,194
1,asked,17848,told,7378,wanted,3468,replied,3422,boy,1838,looked,1752,gave,1482,lady,1375,response,1313,walked,1116,couldn't,959,reply,861,answered,769,smiled,685,doll,578,grew,421,showed,366,wrote,362,explained,314,refused,272
2,hate,16269,haters,5102,hating,2949,jealous,2395,hater,1705,bitches,1198,mad,908,hated,847,hatin,815,jealousy,532,famous,375,lovers,345,ya'll,192,envy,179,phase,159,ruin,156,secretly,95,hotter,76,specially,68,colder,47
3,wanna,14770,hang,12140,text,8987,bored,8702,call,5927,talk,3458,chill,1953,txt,1911,plans,1458,hangout,943,somethin,901,ou,895,idk,647,wana,442,hmu,297,han,175,lemme,145,gimme,117,ahold,114,needa,87
4,snow,18644,roads,3787,drive,3460,car,3240,driveway,2555,ice,2360,stuck,2318,shovel,1565,driving,1502,road,1229,shoveling,1227,covered,1018,snowed,996,icy,898,clear,854,cars,764,inches,631,careful,612,cleared,574,street,548
5,car,11198,cop,3952,cars,3286,parking,3105,ticket,2761,driving,2712,pulled,2704,cops,1991,street,1729,front,1563,police,1452,parked,1401,drive,1385,speeding,1345,park,1287,spot,1074,traffic,1046,drove,990,window,826,lights,760
6,forward,17822,lookin,11937,ward,2042,marcus,1304,foward,878,seein,482,tonite,456,catching,302,tommorow,230,tomorow,210,messy,172,wi,145,girlies,137,tommorrow,120,movin,99,cookin,88,hopin,81,infinity,60,morn,51,,
7,weekend,17377,awesome,11905,amazing,8245,great,8106,retreat,2242,couples,490,cheers,359,buds,93,flippin,46,,,,,,,,,,,,,,,,,,,,,,
8,chocolate,18726,eating,2518,hot,2422,milk,2375,cheesecake,2241,covered,2207,factory,2108,strawberry,1652,icecream,1406,bar,1263,fudge,1243,dark,1158,cake,1112,yum,1051,strawberries,1015,yummy,931,mmmm,886,craving,871,pudding,834,mmm,797
9,cool,27817,pretty,9707,nice,3041,guy,1430,super,1373,hang,1259,chill,978,met,898,breeze,496,hung,414,bro,403,cooler,317,beans,288,it'd,233,coolest,232,peeps,209,talked,179,chilled,140,uber,138,refreshing,99
10,mr,30106,mrs,7696,ms,1832,fantastic,927,smith,628,bean,605,fox,474,rogers,450,aka,295,congratulations,285,president,264,robinson,214,anderson,210,jones,197,mister,170,wilson,99,potato,97,clark,96,parker,86,moore,84
11,hour,18542,shift,8779,half,4666,hr,4428,delay,3404,hours,3393,shifts,1665,worked,1383,extra,949,hrs,480,twelve,368,workin,282,split,234,overtime,155,closing,143,scheduled,77,pooped,66,eleven,62,overnight,55,,
12,lee,7846,bruce,3196,tommy,1938,leo,1791,evans,958,le,814,campbell,740,amy,678,jamie,365,smith,333,mrs,310,cliff,250,jessica,225,jones,219,ann,214,jordan,208,lewis,200,sara,194,aka,188,crystal,185
13,back,24271,bring,7324,memories,5723,brings,4469,brought,3737,bringing,2585,bounce,1822,fond,291,childhood,244,flooding,112,nostalgia,74,rushing,72,nostalgic,45,,,,,,,,,,,,,,
14,graduation,6482,proud,5393,congrats,4558,congratulations,3534,class,3263,college,3149,graduate,2468,graduating,2461,graduated,1856,degree,1560,officially,1518,graduates,1391,seniors,1274,batch,1046,grad,817,students,758,ceremony,731,grade,674,highschool,629,fellow,593
15,sleep,28737,hours,7871,night,7869,tired,3741,wake,2732,nights,2288,bed,1815,couldn't,1209,woke,1202,waking,801,nightmares,779,decent,693,restless,608,night's,583,exhausted,570,nap,545,couldnt,534,awake,454,woken,394,peaceful,225
16,back,33412,grind,3965,whip,3280,hair,2445,track,1682,laid,1430,daily,1030,groove,868,bump,467,smith,319,shape,268,fort,223,slam,161,grin,159,pat,117,hustle,68,weekly,45,whipped,43,,,,
17,happy,23945,diwali,4494,wishing,3207,holi,1872,enjoy,1243,safe,1116,al,1062,prosperous,787,festival,769,frnds,470,advance,330,wishin,323,evry,278,cheers,260,colours,240,crackers,224,colors,221,celebration,204,b'day,168,sweets,166
18,thankful,16341,family,14986,happy,14462,thanksgiving,14392,friends,12069,wonderful,3732,blessed,1801,safe,1618,enjoy,1431,holiday,1358,grateful,1043,blessings,727,wishing,695,turkey,558,holidays,409,healthy,384,families,382,health,352,greatful,133,extended,112
19,i'm,24360,thinking,17492,wondering,3887,sitting,3644,starting,1462,missing,663,heck,454,putting,319,contemplating,238,staring,218,pondering,17,,,,,,,,,,,,,,,,,,
20,sister,6079,niece,5124,nephew,5057,loves,4538,aunt,3490,nieces,3335,nephews,3023,secrets,1484,auntie,1267,mother,1262,mommy,1078,hugs,1058,neice,994,sisters,600,babysitting,580,adorable,563,aunty,546,sis,522,behave,520,cutest,228
21,high,20340,low,12359,head,3424,hopes,3213,held,1361,heels,1115,aim,919,expectations,621,standards,562,key,483,reach,397,maintenance,378,heads,359,spirits,352,danger,309,lower,297,tolerance,261,quality,225,budget,212,behold,202
22,ill,29747,im,10061,guess,8215,fine,741,idk,367,admit,268,itll,246,mayb,231,settle,145,untill,144,tomorow,110,idc,67,,,,,,,,,,,,,,,,
23,night,26125,sleep,5455,nights,3474,sleepless,2473,twas,1015,rough,353,seattle,272,dreamt,271,creature,267,eventful,131,gooood,115,wrecked,37,,,,,,,,,,,,,,,,
24,nurse,4025,iv,2299,helping,1438,means,1398,lives,1345,missing,1199,begin,1112,nurses,963,worst,954,curse,869,holding,849,minute,823,step,809,dying,765,people's,756,carry,711,difference,696,story,693,authority,619,appreciation,616
