turtle,giant,shell,ninja,turtles,penguin,mega,midget,teenage,naked,named,huge,awkward,wonders,homeless,sea,saved,shark,pet,robot
asked,told,wanted,replied,boy,looked,gave,lady,response,walked,couldn't,reply,answered,smiled,doll,grew,showed,wrote,explained,refused
hate,haters,hating,jealous,hater,bitches,mad,hated,hatin,jealousy,famous,lovers,ya'll,envy,phase,ruin,secretly,hotter,specially,colder
wanna,hang,text,bored,call,talk,chill,txt,plans,hangout,somethin,ou,idk,wana,hmu,han,lemme,gimme,ahold,needa
snow,roads,drive,car,driveway,ice,stuck,shovel,driving,road,shoveling,covered,snowed,icy,clear,cars,inches,careful,cleared,street
car,cop,cars,parking,ticket,driving,pulled,cops,street,front,police,parked,drive,speeding,park,spot,traffic,drove,window,lights
forward,lookin,ward,marcus,foward,seein,tonite,catching,tommorow,tomorow,messy,wi,girlies,tommorrow,movin,cookin,hopin,infinity,morn,
weekend,awesome,amazing,great,retreat,couples,cheers,buds,flippin,,,,,,,,,,,
chocolate,eating,hot,milk,cheesecake,covered,factory,strawberry,icecream,bar,fudge,dark,cake,yum,strawberries,yummy,mmmm,craving,pudding,mmm
cool,pretty,nice,guy,super,hang,chill,met,breeze,hung,bro,cooler,beans,it'd,coolest,peeps,talked,chilled,uber,refreshing
mr,mrs,ms,fantastic,smith,bean,fox,rogers,aka,congratulations,president,robinson,anderson,jones,mister,wilson,potato,clark,parker,moore
hour,shift,half,hr,delay,hours,shifts,worked,extra,hrs,twelve,workin,split,overtime,closing,scheduled,pooped,eleven,overnight,
lee,bruce,tommy,leo,evans,le,campbell,amy,jamie,smith,mrs,cliff,jessica,jones,ann,jordan,lewis,sara,aka,crystal
back,bring,memories,brings,brought,bringing,bounce,fond,childhood,flooding,nostalgia,rushing,nostalgic,,,,,,,
graduation,proud,congrats,congratulations,class,college,graduate,graduating,graduated,degree,officially,graduates,seniors,batch,grad,students,ceremony,grade,highschool,fellow
sleep,hours,night,tired,wake,nights,bed,couldn't,woke,waking,nightmares,decent,restless,night's,exhausted,nap,couldnt,awake,woken,peaceful
back,grind,whip,hair,track,laid,daily,groove,bump,smith,shape,fort,slam,grin,pat,hustle,weekly,whipped,,
happy,diwali,wishing,holi,enjoy,safe,al,prosperous,festival,frnds,advance,wishin,evry,cheers,colours,crackers,colors,celebration,b'day,sweets
thankful,family,happy,thanksgiving,friends,wonderful,blessed,safe,enjoy,holiday,grateful,blessings,wishing,turkey,holidays,healthy,families,health,greatful,extended
i'm,thinking,wondering,sitting,starting,missing,heck,putting,contemplating,staring,pondering,,,,,,,,,
sister,niece,nephew,loves,aunt,nieces,nephews,secrets,auntie,mother,mommy,hugs,neice,sisters,babysitting,adorable,aunty,sis,behave,cutest
high,low,head,hopes,held,heels,aim,expectations,standards,key,reach,maintenance,heads,spirits,danger,lower,tolerance,quality,budget,behold
ill,im,guess,fine,idk,admit,itll,mayb,settle,untill,tomorow,idc,,,,,,,,
night,sleep,nights,sleepless,twas,rough,seattle,dreamt,creature,eventful,gooood,wrecked,,,,,,,,
nurse,iv,helping,means,lives,missing,begin,nurses,worst,curse,holding,minute,step,dying,people's,carry,difference,story,authority,appreciation
taylor,swift,elizabeth,gang,kanye,rip,beyonce,liz,corey,album,cd,obsessed,jonathan,samuel,christine,erin,lucy,roomie,lawrence,fifteen
friends,cousins,family,crazy,understand,talk,haven't,childhood,talked,cousin,older,grow,re-post,repost,daily,remain,siblings,they'll,haven,regular
mexico,el,ay,viva,te,del,amo,mexican,mar,argentina,ii,spanish,mucho,fiesta,amigos,spain,pit,chile,france,brazil
xbox,ps,play,playing,live,games,cod,online,wii,playin,add,pc,gaming,fifa,tag,halo,microsoft,sports,sony,slim
ta,ma,li,il,min,te,bo,pa,cu,imma,mal,su,nan,tin,den,ra,par,bi,chin,dar
pretty,good,darn,liars,damn,intense,dang,stoked,decent,legit,yep,impressive,pumped,admit,bummed,witty,sounding,entertaining,pity,sucky
block,party,writers,blocks,blog,blocked,inspiration,cock,frustrating,blocking,halfway,grrrrr,writer,pointed,impress,switching,experiencing,fooled,,
bunch,ing,jen,lovely,ot,screwed,row,suddenly,bs,standing,heck,changing,idiots,mu,generation,cast,ku,base,production,curse
angel,devil,angels,heaven,hell,demons,demon,wings,satan,sin,devils,fallen,shoulder,separate,convinced,depth,disguise,gods,powers,height
finds,annoying,extremely,interesting,thinks,slightly,amusing,depressing,incredibly,entertaining,odd,confusing,kind,frustrating,fact,disappointing,disturbing,ridiculous,oddly,attractive
job,interview,luck,nervous,interviews,thursday,position,applied,hired,orientation,internship,offer,scheduled,manager,target,offered,promising,hire,mock,telephone
good,day,morning,hope,great,begining,optimistic,,,,,,,,,,,,,
rock,rocks,hard,socks,climbing,sock,rockin,rocked,classic,star,kid,rocking,cafe,punk,roll,solid,style,boat,tube,stage
uni,london,offer,university,centre,manchester,sorted,offers,flat,fancy,uk,bloody,gig,brilliant,bk,liverpool,realised,fab,travelling,placement
dinner,making,beef,cooking,pot,roast,yummy,spaghetti,chili,homemade,stew,lasagna,cook,chicken,smells,yum,delicious,mmmm,supper,turkey
feel,makes,make,doesn't,grow,alive,inside,uncomfortable,absence,comfortable,distance,touching,numb,helps,growing,discovery,capture,connected,wander,losers
na,si,je,tak,se,mi,po,ale,ve,ja,bo,mam,som,pr,wi,ty,bu,pi,mu,ch
change,world,changing,plans,constant,seasons,ways,attitude,somethings,growth,subject,nothing's,pace,direction,constantly,lifestyle,progress,circumstances,remains,adjust
thinks,compare,hitler,german,apparently,idea,germany,jewish,nazi,picked,nun,sort,compared,actual,banned,killed,style,agrees,btw,compete
rest,day,life,spend,entire,spending,everyday,eternity,amazed,haunt,interest,confuse,,,,,,,,
bill,ted,excellent,kill,gates,kennedy,bailey,murray,clinton,adventure,gate,electric,science,dollar,electricity,passing,talks,scrubs,microsoft,topped
helping,ill,needed,proper,won't,guts,eating,equipment,treatment,elderly,homeless,millions,countries,mentally,donate,promised,troops,re-post,medicines,benefits
wow,wo,bow,amazing,intense,unbelievable,speechless,amazed,incredible,amazin,belive,crushed,shocking,beleive,doom,impressive,,,,
tea,cup,hot,coffee,drinking,green,drink,iced,chai,cups,honey,enjoying,milk,mug,bubble,lemon,arizona,drank,pot,mint
paris,london,italy,france,trip,europe,germany,rome,england,travel,leaving,tour,uk,spain,ireland,canada,french,booked,york,australia
car,tire,flat,fixed,tires,fix,truck,oil,engine,broke,replaced,brakes,brake,changed,wheel,blew,replace,parts,bike,spare
tonight,goin,whos,who's,whats,town,comin,keen,tonite,tommorow,carnival,comming,tmrw,gig,,,,,,
kai,ta,den,ti,tha,se,tis,tin,oi,mia,ton,mas,thn,tn,auto,mera,gt,;p,mn,ama
great,night,time,fantastic,catching,evening,lastnight,workout,:o),topped,inviting,jessie,,,,,,,,
city,sex,owl,kansas,opposite,york,ocean,sin,restaurant,iowa,pro,lights,progress,chicago,hall,con,motion,oklahoma,windy,sleeps
lucky,girl,found,charm,leaf,jealous,bastard,bastards,losers,incredibly,gal,realise,magically,irish,retire,penny,fortunate,horoscope,champ,casino
you've,you're,you'll,hurt,there's,realize,nobody's,sing,we've,one's,you'd,everybody's,warned,kidding,shown,forgotten,they've,satisfied,fault,realise
fan,page,big,fans,pages,biggest,huge,groups,liking,join,hits,group,ceiling,joining,joined,official,recommended,loyal,suggestion,adding
di,il,che,la,mi,si,le,con,una,pi,mia,ti,del,solo,fa,cos,chi,bella,su,mai
price,pay,cost,free,paid,worth,expensive,fee,buy,cheap,prices,costs,priceless,ticket,bucks,tag,low,charge,paying,gas
heart,hear,eyes,listen,hold,words,ears,find,speak,hands,mind,walk,soul,voice,legs,mouth,touch,ear,truth,speaks
hair,blonde,dye,red,color,black,brown,dying,purple,dyed,dark,blue,blond,colour,pink,highlights,cut,natural,darker,bleach
read,book,reading,pages,chapter,books,written,page,article,notes,chapters,write,story,history,newspaper,review,wrote,cover,articles,bible
tomorrow,school,day,forward,starting,meeting,exciting,hopes,dread,returning,yikes,grin,chin,,,,,,,
ft,hood,fort,robin,slip,slide,batman,worth,joker,tall,collins,boyz,wayne,lewis,rat,dallas,smith,wood,fl,william
day,everyday,closer,missing,easier,lived,brings,passes,reminded,routine,wil,ordinary,notebook,creeping,,,,,,
cold,freezing,winter,weather,snow,warm,degrees,frozen,freeze,colder,heat,ice,wind,warmer,toes,heater,wet,chilly,froze,bloody
drive,golden,crazy,flash,devil,insane,wears,gate,aren't,gucci,hr,backs,sunset,bridge,wanting,remedy,legally,nada,sorta,collapse
:(,missing,missin,gutted,depressed,nooooo,nooo,poorly,bummer,depressing,noooo,dissapointed,,,,,,,,
friends,long,yesterday,friendship,pick,question,spoke,live,speaking,hold,periods,understand,TRUE,busy,types,grudges,lucky,everlasting,re-post,repost
good,day,pretty,feels,twas,hung,chilled,,,,,,,,,,,,,
situation,personal,issues,issue,statement,problem,deal,current,concern,multiple,considered,previous,situations,problems,dealing,involved,avoid,general,manner,information
min,lol,dang,whats,sm,havent,ther,gods,blew,offically,max,stephen,jeez,cal,hmmmmmm,toooo,somthing,esp,,
metal,music,band,rock,bands,heavy,listening,singer,songs,listen,punk,pop,hardcore,lead,jazz,blues,alternative,rap,folk,artists
motivation,lack,inspiration,nerd,inspired,geek,nerds,motivated,complete,excuse,inspire,lacking,total,successful,knowledge,creativity,nerdy,imagination,difference,where's
week,busy,weekend,ahead,hectic,schedule,rest,forward,exciting,stressful,prepare,preparing,planned,productive,whew,planning,week's,tiring,upcoming,loooong
ca,waht,taht,,,,,,,,,,,,,,,,,
night,bed,nighty,peeps,calling,ya'll,facebookers,bedtime,welp,allll,,,,,,,,,,
lo,mc,holly,hammer,deck,buddy,halls,jolly,hitting,donald,speakers,smash,smashed,suite,judging,,,,,
computer,finally,internet,fixed,working,laptop,yay,works,comp,online,slow,computers,crashed,library,access,figured,technology,hooked,finaly,hooray
